Ticker,beta_1y,correlation_1y,avg_leverage_general_1y
CPRT,0.42474654865822176,0.21967436008865346,-15.817250846897386
CRCL,3.0889549866569403,0.2901162758295258,-8.683965081252833
CRDO,3.3454917578830186,0.4626210313984992,32.7389724039506
CRH,1.2848459975700812,0.48990944342196047,0.6139286300854121
CRM,1.0998067001686196,0.3713582433995064,-14.454296234422241
CRWD,1.8338336941341096,0.5329705118491866,7.764330419715819
CRWV,2.943500650901877,0.3260440814339686,17.63647435824148
CSCO,0.8532950689669012,0.43451327160761427,1.7274749793790307
CSGP,0.8996391662442424,0.27064311526450885,-12.650863862445108
CSX,0.578326921419701,0.3000455492651505,7.8682336345040795
CTAS,0.44487105799542326,0.27029308303481264,-8.641871464509402
CTSH,0.8814769167731749,0.5951929560926772,-10.491211944320437
CVE,1.1540510878763837,0.5479750651687345,0.5161232860540436
