Ticker,Beta (1y),Correlation (1y),Avg Leverage (Uptrend >50),Avg Leverage (Downtrend <50),Avg Leverage (General)
SBUX,1.0107,0.5807,-2.0068,-1.2106,-1.8330
SCCO,1.2385,0.6182,10.7162,-1.1471,8.1270
SCHW,0.8501,0.6568,-0.5311,0.6671,-0.2696
SE,1.3830,0.5513,-0.4762,2.2088,0.1098
SHEL,0.6201,0.5489,-5.0923,0.5627,-3.8581
SHOP,2.2283,0.7319,-17.9646,0.1236,-14.0168
SHW,0.7080,0.5675,-8.0117,2.1470,-5.7945
SLB,1.1161,0.6017,-1.0031,0.4216,-0.6921
SMFG,1.0192,0.6364,-1.9288,1.1120,-1.2651
SNOW,1.3846,0.5497,10.5532,0.5099,8.3612
SNPS,1.3659,0.4803,0.3012,0.4250,0.3282
SNY,0.3457,0.2388,-3.5323,1.6900,-2.3925
SO,0.0428,0.0478,1.5706,0.7546,1.3925
SONY,0.8911,0.5646,-12.4703,1.7189,-9.3734
SPG,0.8916,0.6674,0.6085,2.2410,0.9648
SPGI,0.7371,0.6094,-4.5954,1.5972,-3.2439
SPOT,1.0371,0.4621,7.1149,2.1018,6.0207
SRE,0.6717,0.4317,-6.6621,0.8737,-5.0174
STX,1.4468,0.5391,6.5977,6.3110,6.5351
SU,0.7314,0.5200,1.8614,0.8718,1.6454
SYK,0.6937,0.6187,0.2986,0.9840,0.4482
T,0.1591,0.1388,-0.1666,1.6411,0.2280
TCEHY,0.5851,0.3476,-2.6468,1.3663,-1.7710
TD,0.4161,0.4961,-7.0324,1.7205,-5.1221
TEL,1.1780,0.7546,-0.3109,1.8881,0.1691
TFC,1.0990,0.7467,-3.7628,1.3417,-2.6487
TJX,0.4353,0.4725,4.0147,1.3083,3.4240
TMO,0.8521,0.5189,-18.8998,0.1450,-14.7432
TMUS,0.2480,0.1779,0.0562,1.9436,0.4682
TRI,0.4329,0.3285,-1.7394,1.2909,-1.0780
TRP,0.3603,0.3548,0.2887,1.4994,0.5530
TRV,0.4587,0.4001,-8.0571,1.6272,-5.9435
TSLA,2.2734,0.6868,4.0867,1.1878,3.4540
TSM,1.4649,0.6938,-3.7366,0.7681,-2.7534
TT,0.9314,0.6433,-4.7954,6.0124,-2.4365
TTE,0.5034,0.4360,-0.7922,-0.2674,-0.6777
TXN,1.3047,0.6399,-0.2586,1.4761,0.1200
UBER,1.0615,0.5443,5.9255,1.3077,4.9177
UBS,0.9758,0.6488,4.5353,1.1580,3.7982
UL,0.0423,0.0411,5.1633,1.2549,4.3103
UNH,0.2751,0.1121,-4.9044,-1.6598,-4.1962
UNP,0.6723,0.5887,-2.3210,1.3451,-1.5209
UPS,0.7790,0.4647,-7.2868,-0.0902,-5.7161
USB,1.0290,0.7322,-4.4005,1.9598,-3.0123
V,0.7539,0.6520,-3.0391,1.3918,-2.0721
VALE,0.7634,0.5064,4.0347,0.3474,3.2300
VLO,0.9887,0.5157,9.2123,2.2298,7.6883
VRT,2.2532,0.6393,4.8713,1.1526,4.0597
VRTX,0.4560,0.2521,2.1324,1.5589,2.0072
VST,1.9134,0.5709,13.9131,2.0556,11.3251
VZ,0.1463,0.1333,3.2379,2.0340,2.9751
WBD,1.6970,0.5240,-35.7909,1.6492,-27.6195
WDAY,0.9543,0.5376,-10.4376,0.9344,-7.9556
WDC,1.6959,0.6086,2.6013,5.1253,3.1522
WELL,0.3215,0.2883,6.1704,1.7932,5.2151
WFC,1.0213,0.6846,4.9245,0.6709,3.9961
WM,0.1943,0.2027,-4.7176,1.7577,-3.3044
WMB,0.6228,0.4479,2.4572,0.7142,2.0768
WMT,0.5734,0.4456,2.0455,0.8340,1.7811
WPM,0.3344,0.1831,38.3813,1.1163,30.2481
XOM,0.5191,0.4372,-5.8736,0.2030,-4.5474
ZTS,0.6223,0.4190,6.0310,1.2381,4.9849
